MLS,Street,City,Bedrooms,Bathrooms,SqFt,List Price,Price/SqFt,County,Zone,Source,Date,URL
1071810, 200 Surf, Pismo Beach,3,2,1565,699000,446.6453674, SLO,2,1, 10/24/16, http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1071810
1071434, 206 Vincente, Pismo Beach,3,4,2027,999500,493.0932412, SLO,2,1, 10/24/16, http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1071434
1070419, 547 Kevin, Porterville,4,4,2614,329500,126.0520275, Other,0,1, 10/24/16, http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1070419
1071404, 1650 Clark, Santa Maria,2,2,1056,43900,41.5719697, SB,0,1, 10/24/16, http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1071404
1071767, 4002 Berwyn, Santa Maria,2,2,1440,94900,65.90277778, SB,0,1, 10/24/16, http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1071767
1071111, 310 McCoy, Santa Maria,2,2,1130,239900,212.300885, SB,0,1, 10/24/16, http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1071111
1071126, 245 5th, Solvang,2,2,1316,350000,265.9574468, SB,0,1, 10/24/16, http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1071126
1067487, 888 Fredensborg Canyon, Solvang,5,4,2980,669750,224.7483221, SB,0,1, 10/24/16, http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1067487
1070400, 765 Mesa View, Arroyo Grande,2,2,1440,99000,68.75, SLO,2,1, 10/24/16, http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1070400
1068113, 765 Mesa View, Arroyo Grande,3,2,1248,135000,108.1730769, SLO,2,1, 10/24/16, http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1068113
1065985, 1443 Newport, Arroyo Grande,5,2,2744,626000,228.1341108, SLO,2,1, 10/24/16, http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1065985
1070393, 850 StageCoach, Arroyo Grande,3,2,1656,699000,422.1014493, SLO,2,1, 10/24/16, http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1070393
1070660, 7400 Portola, Atascadero,3,2,1936,530000,273.7603306, SLO,3,1, 10/24/16, http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1070660
1069627, 14270 Morningside, Atascadero,3,3,1650,665000,403.030303, SLO,3,1, 10/24/16, http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1069627
1070983, 9123 Santa Margarita, Atascadero,3,4,2716,875000,322.1649485, SLO,3,1, 10/24/16, http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1070983
1066078, 723 Balboa, Grover Beach,3,3,2133,600000,281.2939522, SLO,2,1, 10/24/16, http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1066078
1070062, 1411 San Diego, Grover Beach,3,3,1852,649000,350.4319654, SLO,2,1, 10/24/16, http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1070062
1070935, 1441 Crown, Lompoc,4,3,1770,320000,180.7909605, SB,0,1, 10/24/16, http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1070935
1067095, 2461 Grand, Los Olivos,4,4,2275,1050000,461.5384615, SB,0,1, 10/24/16, http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1067095
1071388, 1860 6th, Los Osos,3,2,1716,604900,352.5058275, SLO,1,1, 10/24/16, http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1071388
1067475, 2939 Hemlock, Morro Bay,1,1,560,399000,712.5, SLO,1,1, 10/24/16, http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1067475
1068600, 2766 Tennessee Walker, Paso Robles,3,2,1728,315000,182.2916667, SLO,4,1, 10/24/16, http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1068600
1070120, 110 Narlene, Pismo Beach,3,3,1479,623900,421.8390805, SLO,2,1, 10/24/16, http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1070120
1071113, 2251 Shell Beach, Pismo Beach,3,2,1282,715000,557.7223089, SLO,2,1, 10/24/16, http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1071113
