ListingID,S,SubType,St#,StName,City,MLSArea,SLC,L/C Price,Price Per Square Foot,Br/Ba,Sqft,YrBuilt,AcLSqft,DOM/CDOM,ViewYN,PoolPrivateYN,BAC,Contract Status Change Date,MLS
SP1052288,A,SFR/D,550,Bassi   ,AVIL,AVIL,,"$2,325,000 ",$837.54 ,"3/2,0,1,0",2776/A,1998,"2.48/108,029",638/638,Y,,2.5,3/1/15,CCR
SP1068752,A,/D,230,2nd   ,AVIL,AVIL,,"$2,999,500 ","$1,127.63 ","3/3,0,0,0",2660/B,0,"0.108/4,700",119/119,Y,,2,8/1/16,CCR
PI1071981,A,CONDO/A,150,Branch    #154,PSMO,PSMO,,"$275,000 ",$300.55 ,"2/2,0,0,0",915/SEE,2016,0,48/48,Y,,3,10/11/16,CCR
PI1072600,A,CONDO/A,150,Branch    #254,PSMO,PSMO,,"$275,000 ",$300.55 ,"2/2,0,0,0",915/SEE,2016,0,27/27,Y,,3,11/1/16,CCR
PI1070359,A,SFR/A,741,White Oak BL  ,PSMO,PSMO,,"$525,000 ",$436.77 ,"2/2,0,0,0",1202/A,1985,"0.0835/3,637",102/102,Y,,2.5,8/18/16,CCR
SP1070003,A,/A,437,Ocean View AV   #103,PSMO,PSMO,,"$529,000 ",$440.83 ,"3/2,0,0,0",1200/SEE,2007,0.0148/645,112/112,Y,,3,8/8/16,CCR
PI1065287,A,CONDO/A,210,Stimson AV  ,PSMO,PSMO,,"$599,000 ",$489.78 ,"2/2,0,1,0",1223/A,1984,"0.0281/1,224",238/238,Y,,3,4/4/16,CCR
PI1073073,A,SFR/A,246,Ridge RD  ,PSMO,PSMO,,"$675,000 ",$473.68 ,"3/2,0,0,0",1425/A,1985,"0.1097/4,779",8-Aug,Y,,2,11/20/16,CCR
PI1070567,A,CONDO/A,234,Ocean View AV  ,PSMO,PSMO,,"$679,900 ",$596.40 ,"2/2,0,1,0",1140/S,2008,"0.218/9,500",95/95,Y,,2,8/25/16,CCR
PI1071113,A,CONDO/A,2251,Shell Beach RD   #33,PSMO,PSMO,,"$698,000 ",$544.46 ,"3/2,0,0,0",1282/A,1973,"0.0294/1,281",70/70,Y,,2.5,9/13/16,CCR
PI1069590,A,SFR/D,478,Hinds AV  ,PSMO,PSMO,,"$699,999 ",$856.79 ,"3/1,0,0,0",817/A,1950,"0.2/8,699",120/786,Y,,2.5,7/31/16,CCR
PI1070169,A,CONDO/A,233,Park AV   #3,PSMO,PSMO,,"$709,000 ",$503.55 ,"2/2,0,0,0",1408/A,1990,"0.032/1,407",106/106,Y,,2.25,8/14/16,CCR
SP1072837,A,SFR/D,226,Castaic AV  ,PSMO,PSMO,,"$729,000 ",$972.00 ,"2/1,0,0,0",750/A,1954,"0.062/2,701",17/88,Y,,2.5,11/11/16,CCR
PI1070926,A,SFR/A,121,Narlene WY  ,PSMO,PSMO,,"$749,000 ",$354.64 ,"3/3,0,0,0",2112/A,1986,"0.22/9,601",82/82,Y,,2.5,9/7/16,CCR
PI1072032,A,SFR/A,940,Taft   ,PSMO,PSMO,,"$759,000 ",$257.29 ,"4/2,1,0,0",2950/S,1961,"0.1148/5,001",46/46,Y,,2.5,10/13/16,CCR
SP1072587,A,SFR/D,1001,Canyon LN  ,PSMO,PSMO,,"$795,000 ",$412.77 ,"3/2,0,0,0",1926/S,2017,"0.1148/5,000",24/24,Y,,2,11/4/16,CCR
PI1071076,A,SFR/D,628,Shamrock LN  ,PSMO,PSMO,,"$824,900 ",$363.87 ,"4/2,0,1,0",2267/A,1994,"0.1149/5,005",74/74,Y,,2,9/15/16,CCR
SP1072584,A,SFR/D,993,Canyon LN  ,PSMO,PSMO,,"$825,000 ",$377.40 ,"3/2,0,1,0",2186/S,2017,"0.1148/5,000",24/24,Y,,2,11/4/16,CCR
PI1070854,A,SFR/D,72,El Viento   ,PSMO,PSMO,,"$829,000 ",$498.80 ,"3/2,0,1,0",1662/A,1996,"0.1649/7,183",86/99,Y,,2,9/3/16,CCR
PI1072777,A,SFR/D,68,Valley View DR  ,PSMO,PSMO,,"$839,000 ",$413.71 ,"3/2,0,1,0",2028/A,1996,"0.2457/10,703",19/19,Y,,2.75,11/9/16,CCR
PI1072923,A,SFR/A,71,Valley View DR  ,PSMO,PSMO,,"$840,000 ",$420.63 ,"3/2,0,1,0",1997/SEE,1993,"0.1645/7,166",23/23,Y,,2.5,11/5/16,CCR
PI1070688,A,SFR/A,830,Fresno ST  ,PSMO,PSMO,,"$849,000 ",$339.60 ,"3/2,1,0,0",2500/S,1956,"0.1148/5,001",78/234,Y,,2.5,9/5/16,CCR
PI1071273,A,SFR/D,1326,Costa Del Sol   ,PSMO,PSMO,,"$855,000 ",$601.69 ,"3/2,0,0,0",1421/A,1999,"0.1195/5,205",73/73,Y,,2.5,9/16/16,CCR
SP1071141,A,CONDO/A,1807,Costa Brava   ,PSMO,PSMO,,"$895,000 ",$511.72 ,"3/1,1,1,0",1749/A,2004,"0.0929/4,047",73/73,Y,,2,9/16/16,CCR
PI1071790,A,CONDO/A,339,Stimson   ,PSMO,PSMO,,"$895,000 ",$535.61 ,"2/1,1,1,0",1671/B,0,"0.0474/2,065",123/123,Y,,2.5,7/28/16,CCR
PI1071791,A,CONDO/A,341,Stimson   ,PSMO,PSMO,,"$895,000 ",$535.61 ,"2/1,1,1,0",1671/B,0,"0.0474/2,065",123/123,Y,,2.5,7/28/16,CCR
PI1068078,A,SFR/D,450,Dell CT  ,PSMO,PSMO,,"$898,000 ",$313.55 ,"4/3,0,1,0",2864/SEE,2008,"0.2181/9,500",157/157,Y,,2,8/31/16,CCR
PI1071743,A,CONDO/A,337,Stimson   ,PSMO,PSMO,,"$899,000 ",$527.27 ,"2/1,1,1,0",1705/B,0,"0.0474/2,065",123/123,Y,,2.5,7/28/16,CCR
PI1071792,A,CONDO/A,343,Stimson   ,PSMO,PSMO,,"$899,000 ",$520.56 ,"3/1,1,1,0",1727/B,0,"0.0474/2,065",123/123,Y,,2.5,7/28/16,CCR
PI1070592,A,/D,260,Stimson   ,PSMO,PSMO,,"$918,000 ",$600.00 ,"3/3,0,1,0",1530/SEE,0,0.0176/767,94/94,Y,,2.000*,8/26/16,CCR
SC1072445,A,/A,173,Searidge CT  ,PSMO,PSMO,,"$925,000 ",$593.71 ,"2/2,0,0,0",1558/A,1988,"0.06/2,614",32/32,Y,,2.25,10/27/16,CCR
PI1072446,A,SFR/D,250,Placentia AV  ,PSMO,PSMO,,"$975,000 ",$753.48 ,"2/1,1,0,0",1294/A,1953,"0.093/4,051",33/33,Y,,3*,10/26/16,CCR
PI1071643,A,SFR/D,1231,Longview AV  ,PSMO,PSMO,,"$989,000 ",$482.91 ,"3/3,0,1,0",2048/A,1989,"0.1148/5,001",60/60,Y,,2.5,9/29/16,CCR
SP1068819,A,SFR/D,119,La Floricita   ,PSMO,PSMO,,"$997,500 ",$336.42 ,"3/2,0,1,0",2965/S,1995,"0.1919/8,360",144/144,Y,,2.5,7/7/16,CCR
PI1071434,A,SFR/D,206,Vincente CT  ,PSMO,PSMO,,"$999,500 ",$493.09 ,"3/3,0,1,0",2027/A,2015,"0.2803/12,210",67/67,Y,,2,9/22/16,CCR
PI1072326,A,SFR/D,960,Tulare   ,PSMO,PSMO,,"$1,100,000 ",$355.87 ,"5/2,1,0,0",3091/A,1972,"0.1722/7,501",38/38,Y,,2.5,10/21/16,CCR
PI1071443,A,SFR/A,1558,Costa Brava   ,PSMO,PSMO,,"$1,155,500 ",$574.30 ,"3/3,0,0,1",2012/SEE,0,"0.1268/5,522",66/66,Y,,2*,9/23/16,CCR
PI1069207,A,SFR/D,1455,Costa Del Sol   ,PSMO,PSMO,,"$1,169,500 ",$560.64 ,"3/3,0,0,1",2086/SEE,2016,"0.13/5,647",132/132,Y,,2.000*,7/19/16,CCR
PI1069011,A,SFR/D,941,Shafer   ,PSMO,PSMO,,"$1,295,000 ",$446.55 ,"5/3,0,1,0",2900/B,1989,"0.1187/5,171",137/137,Y,,2.5,7/14/16,CCR
PI1070693,A,SFR/D,651,Hanford ST  ,PSMO,PSMO,,"$1,295,000 ",$466.50 ,"4/2,0,1,0",2776/A,2002,"0.1148/5,001",91/91,Y,,2.5,8/29/16,CCR
PI1073140,A,SFR/D,1353,Costa Brava   ,PSMO,PSMO,,"$1,299,000 ",$630.89 ,"3/2,0,0,0",2059/A,2011,"0.1199/5,223",5-May,Y,,2.5,11/23/16,CCR
PI1072889,A,/D,1284,Costa Brava   ,PSMO,PSMO,,"$1,490,000 ",$529.50 ,"4/3,0,1,0",2814/A,2013,"0.1421/6,190",17/17,Y,,2.5,11/11/16,CCR
PI1067977,A,SFR/A,208,Foothill RD  ,PSMO,PSMO,,"$1,595,000 ",$521.75 ,"5/5,0,1,0",3057/A,2001,"0.15/6,521",168/609,Y,,3,6/13/16,CCR
PI1071731,A,SFR/D,365,Placentia   ,PSMO,PSMO,,"$1,625,000 ",$907.82 ,"3/2,0,0,0",1790/A,2007,"0.058/2,526",58/58,Y,,2.5,10/1/16,CCR
PI1073081,A,SFR/D,344,Capistrano AV  ,PSMO,PSMO,,"$2,295,000 ",$645.03 ,"4/3,0,1,0",3558/SEE,1957,"0.1653/7,200",6-Jun,Y,Y,2.5,11/22/16,CCR
PI1072156,A,SFR/D,107,Indio DR  ,PSMO,PSMO,,"$2,395,000 ","$1,503.45 ","3/1,1,0,0",1593/SEE,1959,0,45/45,Y,,2,10/14/16,CCR
PI1072222,A,COMRES/D,370,Wadsworth AV  ,PSMO,PSMO,,"$2,650,000 ",$748.16 ,"8/3,0,0,0",3542/A,1915,"0.2525/10,999",40/40,Y,,2,10/19/16,CCR
PI1071235,A,SFR/D,178,Bluff DR  ,PSMO,PSMO,,"$4,899,000 ",$934.03 ,"5/4,0,0,0",5245/A,1997,"1.26/54,886",87/272,Y,,2.5,9/2/16,CCR
PI1071092,A,SFR,2054,Ocean BL  ,PSMO,PSMO,,"$5,900,000 ",$556.34 ,"3/2,1,0,1",10605/A,2007,"0.4293/18,700",97/424,Y,,2.5,8/23/16,CCR
SP1056196,A,SFR/D,42,Bluff DR  ,PSMO,PSMO,,"$5,950,000 ","$1,145.99 ","5/3,3,1,0",5192/A,2001,"1.17/50,965",530/530,Y,Y,2.25,6/15/15,CCR
IV16735449,A,SFR/D,2388,Sandpiper LN  ,PSOR,PSOR,"REO,AUC","$243,800 ",$203.17 ,"3/2,0,0,0",1200/A,1981/ASR,"0.1/4,356",13/13,Y,N,3,10/28/16,CRMLSM
OC13051864,A,SFR/D,4710,Flying Paster LN  ,PSOR,PSOR,STD,"$23,000,000 ","$3,743.49 ","4/5,0,0,0",6144/A,1984/SLR,"724/31,537,440",1341/1341,Y,N,2,3/26/13,CRMLSM
SP1071789,A,CONDO/A,411 E,Foothill BL   #3,SLO,SLO,,"$289,500 ",$482.50 ,"1/1,0,0,0",600/S,1985,0.0126/549,49/49,Y,,3,10/10/16,CCR
SP1070589,A,CONDO/A,1041,Southwood DR   #D,SLO,SLO,,"$290,000 ",$325.11 ,"2/1,0,0,0",892/A,1987,0.021/893,94/94,Y,,2.5,8/26/16,CCR
SP1070853,A,CONDO/A,2975,Rockview    #19,SLO,SLO,,"$291,375 ",$321.25 ,"2/1,0,0,0",907/A,1985,0.02/889,87/231,Y,,2.5,9/2/16,CCR
SP1072739,A,CONDO/A,1029,Southwood DR   #C,SLO,SLO,,"$337,500 ",$349.38 ,"2/2,0,0,0",966/A,1987,0.0222/967,21/21,Y,,2.5,11/7/16,CCR
SP1072734,A,CONDO/A,1033,Southwood DR   #U,SLO,SLO,,"$370,000 ",$353.39 ,"2/2,0,0,0",1047/A,1987,"0.024/1,045",21/21,Y,,2.5,11/7/16,CCR
SP1072493,A,CONDO/D,128,Fontana AV   #11,SLO,SLO,,"$374,900 ",$381.00 ,"2/2,0,0,0",984/A,1981,0.02/871,21/21,Y,,3,10/28/16,CCR
SC1072706,A,CONDO/A,2972,Rockview   ,SLO,SLO,,"$410,000 ",$398.45 ,"2/1,0,1,0",1029/A,1991,"0.0327/1,424",25/25,Y,,2.25,11/3/16,CCR
PI1071462,A,CONDO/A,3340,Rockview PL   #1,SLO,SLO,,"$415,000 ",$289.00 ,"2/1,0,1,0",1436/A,1982,"0.033/1,437",66/66,Y,,2,9/23/16,CCR
SP1069405,A,CONDO/A,570,Peach    #2,SLO,SLO,,"$425,000 ",$462.96 ,"2/2,0,0,0",918/A,1975,0.0211/919,128/128,Y,,2.5,7/23/16,CCR
SP1071423,A,SFR/D,660,South   ,SLO,SLO,,"$425,000 ",$459.96 ,"2/1,0,0,0",924/A,1947,"0.062/2,701",67/67,Y,,2.5,9/22/16,CCR
PI1072715,A,CONDO/A,2250,King CT   #64,SLO,SLO,,"$443,000 ",$352.71 ,"2/1,0,1,0",1256/A,1980,"0.0288/1,255",19/19,N,,2.5,11/9/16,CCR
SP1072720,A,/A,943,Humbert AV  ,SLO,SLO,,"$475,000 ",$335.93 ,"3/2,0,1,0",1414/SEE,2016,0,17/17,Y,,2,11/11/16,CCR
SP1072722,A,/A,949,Humbert AV  ,SLO,SLO,,"$475,000 ",$335.93 ,"3/2,0,1,0",1414/SEE,2016,0,17/17,Y,,2,11/11/16,CCR
SP1072204,A,/D,58,Los Palos DR  ,SLO,SLO,,"$489,500 ",$378.58 ,"3/2,0,0,0",1293/A,1976,"0.0826/3,598",41/127,Y,,2.5,10/18/16,CCR
SP1070657,A,/A,937,Humbert AV  ,SLO,SLO,,"$499,000 ",$334.90 ,"3/2,0,1,0",1490/SEE,0,0,88/88,Y,,2,9/1/16,CCR
SP1072711,A,/A,939,Humbert AV  ,SLO,SLO,,"$499,000 ",$334.90 ,"3/2,0,1,0",1490/SEE,2016,0,17/17,Y,,2,11/11/16,CCR
SP1070431,A,/A,921,Humbert AV  ,SLO,SLO,,"$525,000 ",$313.43 ,"3/2,0,1,0",1675/SEE,0,0,39/39,Y,,2,9/1/16,CCR
SC1072952,A,CONDO/D,1490,Prefumo Canyon RD  ,SLO,SLO,,"$525,000 ",$384.90 ,"3/2,0,0,0",1364/A,1977,"0.0313/1,363",0/0,Y,,2.5,11/28/16,CCR
SP1071682,A,CONDO/D,1218,Southwood DR   #7,SLO,SLO,,"$549,000 ",$307.91 ,"2/2,0,0,0",1783/A,2008,"0.0351/1,529",59/59,Y,,2.5,9/30/16,CCR
SP1073091,A,/A,1490,Descanso ST   #13,SLO,SLO,,"$550,000 ",$345.69 ,"2/2,0,1,0",1591/A,1986,"0.0811/3,533",7-Jul,Y,,2.5,11/21/16,CCR
PI1072064,A,/D,840,Clearview   ,SLO,SLO,,"$559,500 ",$333.83 ,"2/2,0,1,0",1676/A,1988,"0.1306/5,689",46/46,Y,,2.5,10/13/16,CCR
SP1068633,A,SFR/D,3076,Rockview PL  ,SLO,SLO,,"$565,000 ",$431.96 ,"2/1,1,1,0",1308/SEE,0,"0.0776/3,380",150/150,Y,,2,7/1/16,CCR
SP1064977,A,COMRES/D,1142,Montalban ST  ,SLO,SLO,,"$569,000 ",$471.03 ,"2/1,1,0,0",1208/A,1910,"0.188/8,194",248/248,Y,,2.5,3/25/16,CCR
SC1073049,A,SFR/D,67,South ST  ,SLO,SLO,,"$569,000 ",$516.33 ,"2/1,0,1,0",1102/A,1900,"0.0735/3,202",10/433,N,,2.5,11/18/16,CCR
SP1068628,A,SFR/D,3086,Rockview PL  ,SLO,SLO,,"$594,295 ",$429.09 ,"2/1,1,1,0",1385/SEE,0,"0.0787/3,427",150/150,Y,,2,7/1/16,CCR
SP1069625,A,SFR/D,2425,Broad ST  ,SLO,SLO,,"$598,000 ",$534.41 ,"3/1,1,0,0",1119/A,0,"0.16/6,961",119/119,Y,,2.5,8/1/16,CCR
PI1072750,A,/A,1053,Trevor WY  ,SLO,SLO,,"$599,000 ",$341.12 ,"3/3,0,0,0",1756/A,1989,"0.0403/1,755",21/21,Y,,2.5,11/7/16,CCR
PI1072965,A,CONDO/A,1053,Trevor WY  ,SLO,SLO,,"$599,000 ",$341.12 ,"3/3,0,0,0",1756/A,1989,"0.0403/1,755",21/21,Y,,2.5,11/7/16,CCR
PI1072885,A,SFR/D,850,El Capitan WY  ,SLO,SLO,,"$619,000 ",$383.28 ,"3/2,0,0,0",1615/A,1945,"0.2394/10,428",16/16,Y,,2.5,11/12/16,CCR
SC1071267,A,CONDO/A,1069,Pauline WY  ,SLO,SLO,,"$625,000 ",$348.97 ,"3/2,0,1,0",1791/A,1990,"0.039/1,699",53/53,Y,,2.5,9/17/16,CCR
SP1070910,A,SFR/D,357,Christina WY  ,SLO,SLO,,"$629,000 ",$503.20 ,"3/2,0,0,0",1250/A,1953,"0.1722/7,501",60/60,Y,,2.5,9/8/16,CCR
SP1069988,A,SFR/D,868,Vista Del Arroyo   ,SLO,SLO,,"$657,000 ",$442.72 ,"4/3,0,0,0",1484/A,1982,"0.1492/6,499",76/76,Y,,2.5,8/8/16,CCR
SP1066180,A,SFR/A,1031,Walnut   ,SLO,SLO,,"$659,000 ",$496.98 ,"3/2,0,0,0",1326/A,1950,"0.1722/7,501",216/216,Y,,2.5,4/26/16,CCR
SP1068165,A,SFR/A,539,Ellen   ,SLO,SLO,,"$660,000 ",$444.74 ,"3/1,0,0,0",1484/A,0,"0.1558/6,787",163/163,Y,,2.5,6/18/16,CCR
SP1071698,A,SFR/A,4570,Wavertree   ,SLO,SLO,,"$674,000 ",$322.33 ,"4/2,0,1,0",2091/A,1997,"0.0846/3,685",47/47,Y,,2.5,9/30/16,CCR
SP1072656,A,SFR/D,713,Meinecke AV  ,SLO,SLO,,"$679,000 ",$746.15 ,"2/1,0,0,0",910/A,1949,"0.1377/5,998",25/25,Y,,2.5,11/3/16,CCR
SC1070877,A,CONDO/A,1327,Garden ST  ,SLO,SLO,,"$699,000 ",$832.14 ,"1/1,0,0,0",840/B,2014,"0.032/1,407",84/84,Y,,3,9/5/16,CCR
SP1072906,A,SFR/A,10,Cottonwood LN  ,SLO,SLO,,"$699,000 ",$408.77 ,"2/0,2,1,0",1710/SEE,1964,"0.6652/28,977",14/14,Y,,2.5,11/14/16,CCR
PI1067711,A,SFR/A,237,Bridge ST  ,SLO,SLO,,"$724,900 ",$430.46 ,"2/2,0,1,0",1684/B,0,"0.139/6,054",171/171,Y,,2,6/10/16,CCR
PI1072230,A,SFR/D,374,Junipero WY  ,SLO,SLO,,"$729,000 ",$351.16 ,"3/2,0,1,0",2076/A,2014,"0.0918/3,999",40/40,Y,,2.5,10/19/16,CCR
SP1068541,A,SFR/D,1533,Osos ST  ,SLO,SLO,,"$739,900 ",$614.53 ,"3/2,0,0,0",1204/A,1900,"0.0872/3,798",136/136,Y,,2.5,9/9/16,CCR
SP1072412,A,SFR/D,6060,Gallant PL  ,SLO,SLO,,"$749,000 ",$368.06 ,"3/2,0,0,0",2035/A,1974,"0.2525/10,999",0/0,Y,,2,11/28/16,CCR
SP1072470,A,SFR/D,925,Rachel CT  ,SLO,SLO,,"$783,988 ",$476.30 ,"3/2,1,0,0",1646/SEE,0,"0.1084/4,722",31/31,Y,,2.5,10/28/16,CCR
SP1072640,A,SFR/D,1320,Oceanaire DR  ,SLO,SLO,,"$799,000 ",$448.62 ,"2/2,0,0,0",1781/A,1975,"0.202/8,799",25/103,Y,,2,11/3/16,CCR
SP1073037,A,SFR/D,170,Ramona DR  ,SLO,SLO,,"$799,000 ",$449.89 ,"3/2,0,0,0",1776/A,1953,"0.1446/6,299",10-Oct,Y,,2.5,11/18/16,CCR
PI1068937,A,SFR/A,241,Bridge ST  ,SLO,SLO,,"$799,900 ",$475.00 ,"2/2,0,1,0",1684/B,0,"0.139/6,054",140/140,Y,,2,7/11/16,CCR
SP1072468,A,SFR/D,2172,Florence   ,SLO,SLO,,"$799,900 ",$446.12 ,"3/1,2,0,0",1793/SEE,2016,"0.1088/4,739",31/31,Y,,2.5*,10/28/16,CCR
SP1072469,A,SFR/A,947,Rachel CT  ,SLO,SLO,,"$801,822 ",$487.13 ,"3/2,1,0,0",1646/SEE,0,"0.1088/4,739",31/397,Y,,2.5,10/28/16,CCR
SC1070676,A,SFR/D,810,Del Rio   ,SLO,SLO,,"$815,000 ",$340.43 ,"5/3,0,0,0",2394/A,1978,"0.1832/7,980",88/88,Y,,2.5,9/1/16,CCR
SP1072522,A,SFR/D,948,Rachel CT  ,SLO,SLO,,"$815,573 ",$575.16 ,"3/1,2,0,0",1418/SEE,0,"0.1369/5,963",31/31,Y,,2.5*,10/28/16,CCR
SP1072170,A,SFR/D,518,Bluerock DR  ,SLO,SLO,,"$825,000 ",$408.82 ,"3/2,0,1,0",2018/A,1999,"0.107/4,661",42/42,Y,,2.5,10/17/16,CCR
SP1072818,A,SFR/D,5295,Ontario RD  ,SLO,SLO,,"$829,000 ",$421.24 ,"3/2,0,1,0",1968/A,1979,"2.39/104,108",17/77,Y,,2.5,11/11/16,CCR
SP1072521,A,SFR/D,971,Rachel CT  ,SLO,SLO,,"$836,024 ",$471.00 ,"3/2,2,0,0",1775/SEE,0,"0.1098/4,781",31/31,Y,,2.5*,10/28/16,CCR
SP1071970,A,SFR/D,411,Woodbridge ST  ,SLO,SLO,,"$839,900 ",$303.65 ,"3/2,1,0,0",2766/A,1987,"0.1377/5,998",48/48,Y,,2.5,10/11/16,CCR
SP1072878,A,SFR/D,1932,Corralitos   ,SLO,SLO,,"$849,000 ",$530.62 ,"3/1,1,0,0",1600/S,0,"0.1897/8,263",17/17,Y,,2.5,11/11/16,CCR
PI1070586,A,SFR/D,1309,Richard ST  ,SLO,SLO,,"$899,000 ",$312.70 ,"4/1,2,0,0",2875/A,1950,"0.74/32,234",92/92,Y,,2.5,8/28/16,CCR
SC1071578,A,SFR/A,229,Luneta DR  ,SLO,SLO,,"$899,000 ",$455.19 ,"4/1,1,0,0",1975/AP,0,"0.2235/9,736",63/63,Y,,2,9/26/16,CCR
SP1071690,A,SFR/D,2310,Sunset DR  ,SLO,SLO,,"$899,000 ",$365.45 ,"4/2,1,0,0",2460/A,1983,"0.2727/11,879",69/69,Y,,2.5,9/20/16,CCR
SP1067074,A,SFR/D,172,Highland DR  ,SLO,SLO,,"$919,000 ",$405.56 ,"4/2,1,0,0",2266/A,1959,"0.23/10,001",193/193,Y,,2.5,5/19/16,CCR
SP1067925,A,SFR/D,2747,El Cerrito ST  ,SLO,SLO,,"$935,000 ",$282.31 ,"4/3,0,1,0",3312/A,1966,"0.2146/9,348",98/98,Y,,3,6/12/16,CCR
SP1073032,A,SFR/D,5640,Pinehurst WY  ,SLO,SLO,,"$945,000 ",$363.46 ,"4/3,0,0,0",2600/SEE,1989,"0.2655/11,566",8-Aug,Y,,2.5,11/20/16,CCR
SC1070620,A,SFR/D,2437,Cumbre CT  ,SLO,SLO,,"$949,000 ",$324.78 ,"4/2,0,1,0",2922/A,1985,"0.2525/10,999",91/91,Y,,2.5,8/29/16,CCR
SP1072865,A,SFR/D,1346,Peach   ,SLO,SLO,,"$950,000 ",$226.19 ,"6/3,1,1,0",4200/S,1910,"0.1631/7,105",19/19,Y,,2,11/9/16,CCR
SP1072335,A,SFR/D,870,Casitas CT  ,SLO,SLO,,"$959,000 ",$260.46 ,"4/3,0,1,0",3682/A,1989,"0.1377/5,998",35/35,Y,,2.5,10/24/16,CCR
SP1070775,A,CONDO/A,1328,Morro ST   #110,SLO,SLO,,"$981,625 ",$763.91 ,"2/1,1,0,0",1285/S,0,"0.0295/1,285",88/88,Y,,2,9/1/16,CCR
SP1070850,A,SFR/D,800,Del Rio   ,SLO,SLO,,"$989,000 ",$287.50 ,"4/4,0,0,0",3440/A,1978,"0.1832/7,980",86/222,Y,,2,9/3/16,CCR
SP1069333,A,SFR/D,470,Pismo ST  ,SLO,SLO,,"$1,200,000 ",$465.48 ,"5/3,0,0,0",2578/A,1941,"0.1722/7,501",131/131,Y,,2.5,7/20/16,CCR
SC1052854,A,SFR/D,1680,San Luis DR  ,SLO,SLO,,"$1,225,000 ",$426.24 ,"3/2,1,0,0",2874/SEE,1940,"0.3214/14,000",734/734,Y,,2.5,11/3/14,CCR
SC1068168,A,SFR/D,815,Greystone PL  ,SLO,SLO,,"$1,250,000 ",$357.14 ,"4/2,1,0,0",3500/AP,1999,"0.2286/9,958",161/161,Y,,2,6/20/16,CCR
SP1065023,A,SFR/A,2061,Fixlini ST   #Lot13,SLO,SLO,,"$1,269,000 ",$455.49 ,"4/4,0,0,0",2786/B,2016,"0.1584/6,901",245/245,Y,,2.5,3/28/16,CCR
SP1073013,A,SFR/D,219,Mission LN  ,SLO,SLO,,"$1,349,000 ",$435.16 ,"4/3,0,0,0",3100/SEE,1985,"0.2755/12,001",11-Nov,Y,,2,11/17/16,CCR
SP1071937,A,SFR/D,733,Greystone PL  ,SLO,SLO,,"$1,485,000 ",$424.29 ,"5/4,0,1,0",3500/S,2000,"0.2784/12,127",51/51,Y,,2.5,10/8/16,CCR
SP1072321,A,SFR/D,580,Oakridge DR  ,SLO,SLO,,"$1,595,000 ",$646.80 ,"4/1,1,1,0",2466/A,1969,"0.2984/12,998",35/35,Y,,2,10/24/16,CCR
SP1071538,A,SFR/D,820,Via Laguna Vista   ,SLO,SLO,,"$1,695,000 ",$325.40 ,"5/4,0,1,0",5209/AP,2004,"0.95/41,382",21/21,Y,,2.5,9/26/16,CCR
SP1071549,A,SFR/D,6150,Balm Ridge WY  ,SLO,SLO,,"$1,899,000 ",$583.77 ,"4/2,1,0,0",3253/SEE,2000,"16.27/708,721",63/168,Y,,2.25,9/26/16,CCR
SP1071600,A,SFR/A,672,Oakridge   ,SLO,SLO,,"$1,950,000 ",$375.72 ,"5/5,0,2,0",5190/A,1996,"3.31/144,184",62/261,Y,,2.5,9/27/16,CCR
PI1061786,A,SFR/D,1142,Marsh ST  ,SLO,SLO,,"$2,100,000 ",$648.95 ,"3/3,0,2,0",3236/S,0,"0.051/2,200",549/549,Y,,2,5/29/15,CCR
PI1065952,A,SFR/D,103,Twin Ridge DR  ,SLO,SLO,,"$2,195,500 ",$410.37 ,"4/4,0,1,0",5350/S,1997,"0.78/33,976",224/585,Y,,1.75,4/18/16,CCR
SP1070857,A,SFR/D,663,Hill ST  ,SLO,SLO,,"$2,200,000 ",$814.81 ,"3/2,0,1,0",2700/S,1986,"2/87,120",88/88,Y,,2,9/1/16,CCR
SP1064514,A,SFR/D,550,Bassi   ,SLO,SLO,,"$2,325,000 ",$837.54 ,"3/2,0,1,0",2776/A,1998,"2.48/108,029",638/638,Y,,2.5,3/1/15,CCR
PI1068305,U,SFR/A,827,Willow LN  ,ARRG,ARRG,,"$475,000 ",$297.62 ,"4/2,0,0,0",1596/SEE,0,"0.1663/7,242",159/159,Y,,2.5,10/12/16,CCR
PI1072919,U,SFR/D,327,Corona Del Terra   ,ARRG,ARRG,,"$560,000 ",$348.26 ,"3/2,0,1,0",1608/A,1975,"0.1791/7,802",14/14,Y,,3,11/22/16,CCR
PI1071974,U,SFR/A,225,Walnut ST  ,ARRG,ARRG,,"$569,000 ",$376.32 ,"3/2,0,0,0",1512/A,1949,"0.1736/7,562",39/39,Y,,2.5,11/18/16,CCR
PI1067077,U,SFR/D,1183,Stonecrest DR  ,ARRG,ARRG,,"$599,000 ",$229.94 ,"3/2,0,1,0",2605/A,2004,"0.1567/6,826",193/193,Y,,2.25,10/31/16,CCR
PI1070939,U,SFR/D,280,Tally Ho RD  ,ARRG,ARRG,,"$649,900 ",$475.07 ,"3/2,0,0,0",1368/A,1938,"0.2786/12,136",82/82,Y,,2.5,11/12/16,CCR
PI1071417,U,SFR/A,1020,Cougar Creek WY  ,ARRG,ARRG,,"$899,000 ",$460.32 ,"3/1,2,0,0",1953/SEE,1979,"2.5/108,900",68/68,Y,,2.5,10/14/16,CCR
