ListingID,S,SubType,St#,StreetName,City,MLSArea,SLC,Price,PricePerSquareFoot,BrBa,Sqft,YrBuilt,AcLSqft,DOMCDOM,ViewYN,PoolPrivateYN,BAC,ContractStatusChangeDate,MLS
PI1070762,A,SFR/D,215,Oakwood CT  ,ARRG,ARRG,,"$549,000 ",$360.24 ,"3/2,0,0,0",1524/A,1991,"0.08/3,485",82/82,Y,,2.5,9/1/16,CCR
PI1063725,A,SFR/D,145 W,Branch ST  ,ARRG,ARRG,,"$550,000 ",$627.85 ,"2/1,0,0,0",876/A,1904,"0.1423/6,199",396/396,Y,,2,10/23/15,CCR
PI1072919,A,SFR/D,327,Corona Del Terra   ,ARRG,ARRG,,"$560,000 ",$348.26 ,"3/2,0,1,0",1608/A,1975,"0.1791/7,802",8-Aug,Y,,3,11/14/16,CCR
PI1071097,A,SFR/D,1406,Chilton ST  ,ARRG,ARRG,,"$570,000 ",$389.34 ,"3/2,0,0,0",1464/A,1985,"0.1786/7,780",64/64,Y,,2.5,9/19/16,CCR
PI1072029,A,SFR/D,516,Starlight   ,ARRG,ARRG,,"$575,000 ",$362.32 ,"3/2,0,0,0",1587/A,1999,"0.1201/5,232",40/40,Y,,2.5,10/13/16,CCR
PI1072274,A,SFR/D,658,Woodland CT  ,ARRG,ARRG,,"$589,000 ",$364.71 ,"3/1,1,0,0",1615/A,1976,"0.1972/8,590",33/33,N,,2.25,10/20/16,CCR
PI1066535,A,SFR/A,877,Tempus CR  ,ARRG,ARRG,,"$679,000 ",$307.66 ,"3/2,0,0,0",2207/A,1985,"0.0952/4,147",200/200,Y,,2,5/5/16,CCR
PI1070876,A,SFR/D,144,Moore LN  ,ARRG,ARRG,,"$698,000 ",$431.93 ,"3/2,0,0,0",1616/A,0,"1.0508/45,773",74/74,Y,,2.5,9/9/16,CCR
SP1070393,A,SFR/D,850,StageCoach RD  ,ARRG,ARRG,,"$699,000 ",$422.10 ,"3/2,0,0,0",1656/A,2004,"2.5/108,900",92/92,Y,,2.5,8/22/16,CCR
PI1070568,A,SFR/D,101,Equestrian WY  ,ARRG,ARRG,,"$699,900 ",$329.06 ,"3/2,0,0,0",2127/AP,0,"0.4025/17,533",89/89,Y,,2.5,8/25/16,CCR
PI1072416,A,SFR/D,310,Whiteley ST  ,ARRG,ARRG,,"$725,000 ",$435.44 ,"3/1,1,0,0",1665/A,1952,"0.1561/6,800",14/14,Y,,2,10/26/16,CCR
PI1067335,A,SFR/D,331,StageCoach RD  ,ARRG,ARRG,,"$762,000 ",$290.73 ,"3/2,0,1,0",2621/A,1980,"0.2066/8,999",180/180,Y,,2.5,5/26/16,CCR
SP1059897,A,SFR/D,1398,Deer Canyon RD  ,ARRG,ARRG,,"$799,000 ",$238.79 ,"7/3,1,0,0",3346/SEE,1966,"5.18/225,641",417/417,Y,,2.5,10/2/15,CCR
PI1072571,A,SFR/D,4737,Huasna RD  ,ARRG,ARRG,SPAY,"$800,000 ",$446.93 ,"3/1,1,0,0",1790/A,1960,"15.53/676,487",21/21,Y,Y,2.5,11/1/16,CCR
PI1070874,A,SFR/D,650,Camino Del Rey   ,ARRG,ARRG,,"$848,000 ",$338.25 ,"3/3,0,0,0",2507/A,2009,"0.5231/22,786",77/77,Y,,2.5,9/6/16,CCR
PI1072609,A,SFR/D,143,Century LN  ,ARRG,ARRG,,"$849,000 ",$331.64 ,"3/2,0,1,0",2560/A,1998,"1/43,560",19/19,Y,,2.5,11/3/16,CCR
PI1072755,A,SFR/A,6710,Wittenberg Creek   ,ARRG,ARRG,,"$849,000 ",$352.28 ,"4/3,0,0,0",2410/A,2012,"69.84/3,042,230",19/19,Y,,2.5,11/3/16,CCR
SC1073005,A,SFR/D,1351,Newport AV  ,ARRG,ARRG,,"$849,000 ",$276.01 ,"4/3,0,0,0",3076/A,1960,"0.303/13,199",5-May,Y,,2,11/17/16,CCR
PI1070980,A,SFR/D,2357,Bittern ST  ,ARRG,ARRG,,"$849,999 ",$294.32 ,"3/3,0,1,0",2888/A,2002,"0.2632/11,465",73/73,Y,,2,9/10/16,CCR
SP1065253,A,SFR/A,505 W,Dos Cerros Corte AV  ,ARRG,ARRG,,"$857,000 ",$363.75 ,"3/2,0,1,0",2356/A,2000,"0.35/15,255",174/174,Y,,2.5,6/1/16,CCR
PI1067727,A,SFR/D,697,Avocet WY  ,ARRG,ARRG,,"$879,000 ",$277.55 ,"4/3,0,0,0",3167/A,2004,"0.2521/10,981",168/168,Y,,2.5,6/7/16,CCR
PI1067604,A,SFR/D,280,Acero   ,ARRG,ARRG,,"$899,000 ",$320.96 ,"4/2,1,1,0",2801/A,2001,"0.5352/23,313",172/172,Y,,2.5*,6/3/16,CCR
PI1070488,A,SFR/D,1212,Flora RD  ,ARRG,ARRG,,"$899,000 ",$483.33 ,"3/2,0,1,0",1860/A,1984,"5.1115/222,657",78/78,Y,,2.5,8/23/16,CCR
PI1072241,A,SFR/D,1160,Royal Oak PL  ,ARRG,ARRG,,"$899,000 ",$362.50 ,"3/1,1,1,0",2480/AP,0,"1.2459/54,271",34/34,Y,,2.5,10/19/16,CCR
PI1066550,A,SFR/D,113,Via Bandolero   ,ARRG,ARRG,,"$925,000 ",$297.05 ,"3/2,1,0,0",3114/A,1989,"0.4545/19,798",193/193,Y,,2.5,5/12/16,CCR
SC1070221,A,SFR/D,657,Matthew WY  ,ARRG,ARRG,,"$935,000 ",$350.84 ,"3/2,0,1,0",2665/A,1999,"0.3207/13,970",96/96,Y,,2.5,8/18/16,CCR
PI1071411,A,SFR/D,382,Village Glen DR  ,ARRG,ARRG,,"$939,900 ",$337.97 ,"5/2,1,0,0",2781/AP,2001,"0.4434/19,315",64/64,Y,,2.5,9/19/16,CCR
PI1071836,A,SFR/D,475,Via Las Aguilas   ,ARRG,ARRG,,"$964,950 ",$415.03 ,"3/2,0,1,0",2325/A,1996,"0.24/10,454",48/48,Y,,2,10/5/16,CCR
PI1069671,A,SFR/D,2155,Idyllwild PL  ,ARRG,ARRG,,"$988,000 ",$356.68 ,"4/3,0,0,0",2770/SEE,2003,"2.9/126,324",115/115,Y,,2.25,7/30/16,CCR
SP1062676,A,SFR/D,250,Mission Springs RD   #12,ARRG,ARRG,,"$1,085,000 ",$361.67 ,"4/3,0,1,0",3000/SEE,0,"1.03/44,867",303/303,Y,,1.5,1/24/16,CCR
PI1066877,A,SFR/D,1655,Chesapeake PL  ,ARRG,ARRG,,"$1,124,000 ",$435.49 ,"3/2,0,0,0",2581/A,1998,"2.48/108,029",188/188,Y,,2.5,5/16/16,CCR
PI1070111,A,SFR/D,2725,Hawk View CT  ,ARRG,ARRG,,"$1,125,000 ",$406.14 ,"4/3,1,0,0",2770/B,1998,"4.59/199,940",102/102,Y,,3,8/11/16,CCR
PI1068036,A,SFR/D,8425,Oyster Rock PL  ,ARRG,ARRG,,"$1,135,000 ",$448.44 ,"3/2,0,0,0",2531/A,1998,"41.27/1,797,721",161/161,Y,,2.5,6/14/16,CCR
PI1072582,A,SFR/D,2685,Belgian PL  ,ARRG,ARRG,,"$1,149,000 ",$346.19 ,"4/3,0,0,0",3319/A,1998,"1.5/65,340",20/20,Y,,2.5,11/2/16,CCR
PI1073089,A,SFR/D,2050,Oak WY  ,ARRG,ARRG,,"$1,149,000 ",$501.53 ,"3/2,0,0,0",2291/A,1987,"7/304,920",0/0,Y,,2.5,11/22/16,CCR
SC1071371,A,SFR/D,264,Grace LN  ,ARRG,ARRG,,"$1,195,000 ",$389.76 ,"4/3,0,1,0",3066/A,2012,"0.44/19,166",62/62,Y,,2.5,9/21/16,CCR
PI1066580,A,SFR/D,462,Camino Perrillo   ,ARRG,ARRG,,"$1,196,000 ",$498.33 ,"4/2,0,0,0",2400/S,2006,"10.13/441,263",201/201,Y,,2.5,5/5/16,CCR
SC1068239,A,SFR/D,871,Noyes RD  ,ARRG,ARRG,,"$1,199,000 ",$341.79 ,"4/3,0,0,0",3508/A,1983,"3.12/135,907",99/99,Y,,2.5,6/20/16,CCR
PI1069932,A,SFR/D,357,Via Bandolero   ,ARRG,ARRG,,"$1,199,900 ",$368.75 ,"4/3,0,1,0",3254/SEE,0,"0.5/21,780",108/108,Y,,2.5,8/6/16,CCR
PI1072438,A,SFR/D,685,Via Bandolero   ,ARRG,ARRG,,"$1,225,000 ",$317.11 ,"4/1,3,0,0",3863/A,1991,"0.54/23,522",26/26,Y,,2,10/27/16,CCR
PI1072782,A,SFR/D,828,Noddy CT  ,ARRG,ARRG,,"$1,225,000 ",$320.68 ,"4/3,0,1,0",3820/A,2003,"0.318/13,852",12-Dec,Y,,2,11/10/16,CCR
PI1073020,A,SFR/D,661,Rosemary CT  ,ARRG,ARRG,,"$1,245,000 ",$377.27 ,"4/2,1,0,0",3300/SEE,0,"0.5989/26,088",4-Apr,Y,,2,11/18/16,CCR
PI1064690,A,SFR/D,2166,Lopez DR  ,ARRG,ARRG,,"$1,250,000 ",$482.25 ,"4/3,0,0,0",2592/A,2004,"17.58/765,785",251/251,Y,,2.5,3/16/16,CCR
SC1070265,A,SFR/D,185,Andre DR  ,ARRG,ARRG,,"$1,250,000 ",$390.75 ,"4/3,0,1,0",3199/S,2001,"0.3557/15,494",97/97,Y,Y,2.5,8/17/16,CCR
PI1070768,A,SFR/D,2298,Brant ST  ,ARRG,ARRG,,"$1,289,000 ",$295.57 ,"3/3,0,1,0",4361/A,2003,0,82/82,Y,,2.5,9/1/16,CCR
PI1072763,A,SFR/D,1364,Paseo Ladera   ,ARRG,ARRG,,"$1,325,000 ",$448.54 ,"3/3,0,0,0",2954/A,1999,"3.23/140,699",15/15,Y,,2.5,11/7/16,CCR
PI1069703,A,SFR/A,1381,Carpenter Canyon RD  ,ARRG,ARRG,,"$1,395,000 ",$465.00 ,"3/2,0,1,0",3000/S,1999,"8.88/386,813",115/115,Y,,2.5,7/30/16,CCR
PI1071591,A,SFR/D,450,Canyon WY  ,ARRG,ARRG,,"$1,585,000 ",$334.25 ,"4/4,0,1,1",4742/A,2008,"6.28/273,557",48/48,Y,,2.25,10/5/16,CCR
PI1071670,A,SFR/D,1084,Karina WY  ,ARRG,ARRG,,"$1,599,000 ",$338.34 ,"5/3,0,1,0",4726/A,1996,"2.5/108,900",53/53,Y,,2.5,9/30/16,CCR
PI1049042,A,SFR/D,777,Duntov DR  ,ARRG,ARRG,,"$1,785,000 ",$282.84 ,"6/4,0,1,0",6311/A,2002,"14.9/649,044",756/940,Y,,2.5,10/26/14,CCR
PI1054424,A,SFR/D,1275,Montecito Ridge DR  ,ARRG,ARRG,,"$1,799,000 ",$326.02 ,"4/3,0,1,0",5518/A,2008,"5/217,800",395/395,Y,,2.5,6/23/16,CCR
PI1068588,A,SFR/A,2375,Woodland Hills RD  ,ARRG,ARRG,,"$1,799,000 ",$288.26 ,"4/4,0,1,0",6241/A,2009,"10/435,600",145/145,Y,,2,6/30/16,CCR
PI1071740,A,SFR/D,680,Meadow Oak DR  ,ARRG,ARRG,,"$1,799,000 ",$452.92 ,"5/4,0,1,0",3972/A,2002,"4.56/198,634",51/283,Y,Y,2,10/2/16,CCR
PI1071043,A,SFR/D,2514,Huasna RD  ,ARRG,ARRG,,"$1,800,000 ",$709.22 ,"2/2,0,1,0",2538/S,1997,"42.38/1,846,073",76/840,Y,,2.5,9/7/16,CCR
SP1072514,A,SFR/D,2530,Softchess PL  ,ARRG,ARRG,,"$1,849,000 ",$546.39 ,"3/2,0,1,0",3384/A,1990,"1.48/64,469",23/23,Y,Y,2.5,10/30/16,CCR
SP1063809,A,SFR/D,1150,Button Sage WY  ,ARRG,ARRG,,"$1,850,000 ",$335.75 ,"5/4,2,1,0",5510/S,1989,"1.35/58,806",271/271,Y,Y,2.5,2/25/16,CCR
PI1072801,A,SFR/D,155,Piedra Springs RD  ,ARRG,ARRG,,"$2,099,000 ",$473.28 ,"5/5,0,1,0",4435/B,0,"1.71/74,488",12-Dec,Y,,2.5,11/10/16,CCR
SP1065730,A,SFR/D,255,Piedra Springs   ,ARRG,ARRG,,"$2,425,000 ",$577.66 ,"4/1,2,1,0",4198/A,2009,"1.99/86,684",221/221,Y,,2.5,4/15/16,CCR
PR1058603,A,SFR/D,11450,Viejo Camino   ,ATSC,ATSC,,"$350,000 ",$253.26 ,"3/2,0,0,0",1382/A,1987,"2/87,120",458/458,Y,,2.5,8/22/15,CCR
PI1070539,A,SFR/D,4680,San Vicente AV  ,ATSC,ATSC,,"$355,000 ",$264.53 ,"3/2,0,0,0",1342/AP,1950,"0.1848/8,050",56/56,Y,,2.5,8/25/16,CCR
SP1072177,A,SFR/D,7900,Cortez   ,ATSC,ATSC,,"$369,000 ",$307.50 ,"3/2,0,0,0",1200/A,1983,"0.1/4,356",36/36,Y,,3,10/17/16,CCR
SP1070196,A,SFR/D,6557,Atascadero AV  ,ATSC,ATSC,,"$379,900 ",$359.75 ,"2/2,0,0,0",1056/A,2003,"0.1321/5,754",13/13,Y,,2.5,8/15/16,CCR
PI1072172,A,SFR/D,5760,Olmeda AV  ,ATSC,ATSC,,"$385,000 ",$263.70 ,"3/2,0,1,0",1460/A,2004,"0.0335/1,459",35/35,Y,,2.5,10/18/16,CCR
SP1072924,A,SFR/D,6200,Buena AV  ,ATSC,ATSC,,"$399,000 ",$285.00 ,"3/2,0,0,0",1400/S,1972,"0.2734/11,909",6-Jun,Y,,2.5,11/16/16,CCR
SP1071845,A,SFR/D,5710,Olmeda AV  ,ATSC,ATSC,,"$407,500 ",$309.65 ,"3/1,0,0,0",1316/A,1935,"0.7782/33,898",37/37,Y,,3,10/5/16,CCR
SP1071758,A,SFR/D,9065,Coromar CT  ,ATSC,ATSC,,"$424,900 ",$274.48 ,"3/2,0,1,0",1548/A,2014,"0.1231/5,362",50/50,Y,,2,10/3/16,CCR
SP1072051,A,SFR/D,7605,Castano AV  ,ATSC,ATSC,,"$424,900 ",$313.35 ,"3/2,0,0,0",1356/A,1985,"0.2479/10,799",40/40,Y,,3,10/13/16,CCR
SC1072816,A,SFR/A,8595,El Centro RD  ,ATSC,ATSC,,"$428,500 ",$326.60 ,"3/2,0,0,0",1312/A,2003,"0.15/6,534",11-Nov,N,,2.5,11/11/16,CCR
SP1070467,A,SFR/D,4405,Rosita AV  ,ATSC,ATSC,,"$429,900 ",$277.00 ,"3/2,0,0,0",1552/A,1978,"0.3558/15,499",91/91,Y,,2.5,8/23/16,CCR
SC1067422,A,SFR/D,4495,Lobos AV  ,ATSC,ATSC,,"$435,000 ",$260.17 ,"3/2,1,0,0",1672/A,1974,"0.179/7,797",171/171,Y,,2.500*,5/29/16,CCR
PR1072039,A,SFR/D,3425,La Luz RD  ,ATSC,ATSC,,"$435,000 ",$263.64 ,"3/1,1,0,0",1650/A,1984,"1.0178/44,335",40/40,Y,,2.5,10/13/16,CCR
SP1066159,A,SFR/D,1198,Galeria CT  ,ATSC,ATSC,,"$469,000 ",$225.59 ,"4/2,1,1,0",2079/S,2016,"0.1118/4,869",158/158,Y,,3*,5/6/16,CCR
PR1069365,A,SFR/D,4760,El Verano AV  ,ATSC,ATSC,,"$499,000 ",$198.41 ,"3/3,0,0,0",2515/A,1973,"0.5051/22,002",119/119,Y,,2.5,7/22/16,CCR
PR1070660,A,SFR/D,7400,Portola RD  ,ATSC,ATSC,,"$500,000 ",$258.26 ,"3/1,0,1,0",1936/SEE,1918,"2.16/94,090",85/85,Y,,2.5,8/29/16,CCR
PR1069435,A,SFR/D,2305,Rio Rita RD  ,ATSC,ATSC,,"$510,000 ",$299.65 ,"3/2,0,0,0",1702/A,2002,"2.5/108,900",121/121,Y,,2.5,7/24/16,CCR
PI1070917,A,SFR/D,8925,Azucena AV  ,ATSC,ATSC,,"$534,000 ",$288.03 ,"3/2,0,1,0",1854/A,1989,"0.5/21,780",59/59,Y,,2,9/6/16,CCR
PR1069659,A,SFR/D,7205,San Gabriel   ,ATSC,ATSC,,"$550,000 ",$305.39 ,"3/1,1,1,0",1801/A,1951,"1.53/66,647",91/91,Y,,2.5,9/12/16,CCR
PI1072958,A,SFR/D,7777,Del Rio RD  ,ATSC,ATSC,,"$555,000 ",$291.80 ,"3/2,0,1,0",1902/A,1974,"1.75/76,230",Jul-39,Y,,2.5,11/15/16,CCR
SP1071440,A,SFR/D,9575,Lake View   ,ATSC,ATSC,,"$569,000 ",$293.90 ,"3/2,0,0,0",1936/A,1979,"0.87/37,897",61/61,Y,,2.5,9/22/16,CCR
SP1071896,A,SFR/D,9156,Santa Barbara RD  ,ATSC,ATSC,,"$582,000 ",$290.42 ,"3/2,0,0,0",2004/A,1984,"2.5/108,900",47/47,Y,,2,10/6/16,CCR
SP1068402,A,SFR/D,11255,Eliano ST  ,ATSC,ATSC,,"$624,000 ",$281.84 ,"4/2,0,1,0",2214/SEE,2015,"0.189/8,233",150/150,Y,,2.5,6/25/16,CCR
SC1069627,A,SFR/D,14270,Morningside RD  ,ATSC,ATSC,,"$665,000 ",$403.03 ,"3/2,1,0,0",1650/A,1986,"2.5/108,900",76/76,Y,,2,8/17/16,CCR
PI1072824,A,SFR/D,3331,Via Del Sueno   ,ATSC,ATSC,,"$669,900 ",$310.14 ,"3/2,0,0,0",2160/A,2003,"0.5789/25,217",12-Dec,Y,Y,2.5,11/10/16,CCR
SP1071028,A,SFR/D,8705,Azucena AV  ,ATSC,ATSC,,"$676,000 ",$208.32 ,"4/3,0,0,0",3245/A,1989,"0.5815/25,330",74/74,Y,,2,9/9/16,CCR
PR1068851,A,SFR/D,12712,San Felipe CT   #29,ATSC,ATSC,,"$679,000 ",$289.18 ,"4/2,1,0,0",2348/S,0,"1.67/72,745",137/137,Y,,2.5,7/8/16,CCR
PI1071944,A,SFR/A,12275,Alondra RD  ,ATSC,ATSC,,"$749,900 ",$230.60 ,"3/3,0,0,0",3252/A,1966,"2.8/121,968",43/43,Y,,2.5,10/10/16,CCR
PR1068039,A,SFR/D,9950,Enchanto RD  ,ATSC,ATSC,,"$750,000 ",$289.35 ,"3/1,1,1,0",2592/A,2003,"5.07/220,849",161/161,Y,,2.5,6/14/16,CCR
PR1072424,A,SFR/D,9735,Laurel RD  ,ATSC,ATSC,,"$759,900 ",$261.85 ,"4/2,0,1,0",2902/A,1988,"2.92/127,195",27/27,Y,,2.5,10/26/16,CCR
SP1071632,A,SFR/D,7500,San Gregorio RD  ,ATSC,ATSC,,"$799,000 ",$368.20 ,"4/2,0,1,0",2170/S,1978,"3.4/148,104",55/55,Y,,3.5,9/28/16,CCR
PR1068020,A,SFR/D,6450,San Gabriel RD  ,ATSC,ATSC,,"$839,000 ",$288.51 ,"4/2,0,1,0",2908/A,2002,"4.27/186,001",161/161,Y,,2.5,6/14/16,CCR
SC1072231,A,SFR/D,9900,Carmelita AV  ,ATSC,ATSC,,"$849,000 ",$376.83 ,"3/3,0,0,0",2253/S,1980,"1.39/60,548",33/33,Y,Y,2.5,10/20/16,CCR
SC1066345,A,SFR/A,7450,Santa Cruz RD  ,ATSC,ATSC,,"$849,500 ",$160.92 ,"4/2,0,2,1",5279/A,1987,"3.25/141,570",166/327,Y,,2.5,4/27/16,CCR
PI1070785,A,SFR/D,6455,San Gabriel RD  ,ATSC,ATSC,,"$850,000 ",$299.72 ,"4/3,0,0,0",2836/A,2001,"3.77/164,221",74/74,Y,,2.5,9/9/16,CCR
PR1070983,A,SFR/D,9123,Santa Margarita RD  ,ATSC,ATSC,,"$850,000 ",$312.96 ,"3/2,1,1,0",2716/SEE,1991,"2.4/104,544",74/74,Y,Y,2.5,9/9/16,CCR
AT1062328,A,SFR/D,7586,Balboa RD  ,ATSC,ATSC,"SPAY,FOR","$875,000 ",$159.79 ,"5/5,0,1,0",5476/A,1983,"4/174,240",311/311,Y,,2.5,1/13/16,CCR
PR1063712,A,SFR/D,11505,Santa Ana RD  ,ATSC,ATSC,,"$899,000 ",$299.67 ,"4/3,0,1,0",3000/AP,1989,"4.22/183,823",274/274,Y,,2.5,2/22/16,CCR
PR1071086,A,SFR/D,7655,Bella Vista RD  ,ATSC,ATSC,,"$900,000 ",$290.60 ,"4/2,2,1,0",3097/A,2003,"2.27/98,881",71/71,Y,,2.5,9/12/16,CCR
PI1068463,A,SFR/A,12400,San Marcos RD  ,ATSC,ATSC,,"$1,054,000 ",$300.71 ,"4/2,1,0,0",3505/SEE,2007,"2.53/110,207",148/148,Y,,2.5,6/27/16,CCR
PI1064308,A,SFR/D,5255,Escarpa AV  ,ATSC,ATSC,,"$1,200,000 ",$240.10 ,"4/3,0,1,0",4998/S,2002,"2.3/100,188",258/258,Y,,2,3/9/16,CCR
PI1070411,A,SFR/A,2880,Elderberry   ,AVIL,AVIL,,"$979,000 ",$564.27 ,"3/2,0,1,0",1735/A,2008,"0.088/3,833",93/93,Y,,2.000*,8/21/16,CCR
SP1066845,A,SFR/D,2910,Club Moss   ,AVIL,AVIL,,"$1,124,777 ",$511.26 ,"3/2,0,1,0",2200/SEE,0,"0.0918/3,999",183/183,Y,,2,5/23/16,CCR
SP1052288,A,SFR/D,550,Bassi   ,AVIL,AVIL,,"$2,325,000 ",$837.54 ,"3/2,0,1,0",2776/A,1998,"2.48/108,029",632/632,Y,,2.5,3/1/15,CCR
SC1072803,A,SFR/A,381,Nevis   ,MRBY,MRBY,,"$350,000 ",$560.90 ,"2/1,0,0,0",624/A,1953,"0.0551/2,400",13/13,N,,2.5,11/9/16,CCR
SC1071356,A,SFR/A,474,Yerba Buena ST  ,MRBY,MRBY,,"$399,500 ",$554.86 ,"1/1,0,0,0",720/A,1960,"0.0496/2,161",14/14,Y,,2.5,9/26/16,CCR
SC1073009,A,SFR/A,350,Rennell ST  ,MRBY,MRBY,,"$429,000 ",$449.21 ,"3/1,0,0,0",955/A,1953,"0.0551/2,400",6-Jun,Y,,2.5,11/16/16,CCR
SC1073062,A,SFR/D,3281,Tide AV  ,MRBY,MRBY,,"$430,000 ",$482.60 ,"2/2,0,0,0",891/A,1972,"0.0551/2,400",3-Mar,Y,,2,11/19/16,CCR
SC1063173,A,SFR/D,2880,Greenwood   ,MRBY,MRBY,,"$449,000 ",$610.05 ,"1/1,0,0,1",736/A,1942,"0.0918/3,999",287/287,N,,2.5,2/5/16,CCR
SC1072421,A,SFR/A,341,Oahu ST  ,MRBY,MRBY,,"$519,000 ",$618.59 ,"2/1,0,0,0",839/A,1972,"0.0551/2,400",27/27,Y,,2.5,10/26/16,CCR
SC1072709,A,SFR/D,341,Jamaica ST  ,MRBY,MRBY,,"$549,000 ",$549.00 ,"2/2,0,0,0",1000/SEE,1953,"0.0551/2,400",17/17,Y,,2.5*,11/5/16,CCR
SC1070390,A,SFR/D,938,Pacific ST  ,MRBY,MRBY,,"$570,000 ",$400.28 ,"3/2,0,0,0",1424/AP,0,"0.1309/5,700",84/84,Y,,2.5,8/22/16,CCR
SC1072599,A,SFR/D,485,Little Morro Creek RD  ,MRBY,MRBY,,"$579,000 ",$420.17 ,"4/2,0,0,0",1378/A,0,"0.3072/13,382",21/21,Y,,2,11/1/16,CCR
SP1072992,A,SFR/D,449,Panay ST  ,MRBY,MRBY,,"$599,900 ",$483.79 ,"1/2,0,0,0",1240/A,1967,"0.05/2,178",6/107,Y,,0.01,11/16/16,CCR
SC1067984,A,SFR/A,410,Whidbey ST  ,MRBY,MRBY,,"$650,000 ",$361.11 ,"3/2,0,1,0",1800/SEE,2004,"0.0523/2,280",160/160,Y,,2.5,6/15/16,CCR
SC1072797,A,SFR/D,461,Jamaica   ,MRBY,MRBY,,"$669,000 ",$379.68 ,"3/2,0,1,0",1762/SEE,2006,"0.0551/2,400",13/13,Y,,2.5,11/9/16,CCR
SP1072101,A,SFR/D,529,Zanzibar ST  ,MRBY,MRBY,,"$670,000 ",$697.92 ,"3/0,2,0,0",960/A,0,"0.0551/2,400",39/39,Y,,3,10/14/16,CCR
SC1070482,A,SFR/D,2583,Hemlock AV  ,MRBY,MRBY,,"$685,000 ",$408.22 ,"3/1,1,1,0",1678/B,2006,"0.0643/2,800",90/90,Y,,2.5,8/24/16,CCR
SC1070197,A,SFR/D,442,Oahu ST  ,MRBY,MRBY,,"$699,900 ",$382.04 ,"3/2,0,1,0",1832/A,1971,"0.0551/2,400",98/98,Y,,2.5,8/16/16,CCR
SP1070966,A,SFR/A,1285,Main ST  ,MRBY,MRBY,,"$715,000 ",$348.78 ,"4/3,0,0,0",2050/B,2016,"0.0918/4,000",75/75,Y,,2.5,9/8/16,CCR
SC1072556,A,SFR/A,2390,Juniper   ,MRBY,MRBY,,"$725,000 ",$378.79 ,"4/3,0,0,0",1914/B,1972,"0.0918/3,999",22/22,Y,,2.5,10/31/16,CCR
SC1072670,A,SFR/A,485,Oahu ST  ,MRBY,MRBY,,"$729,000 ",$393.20 ,"3/3,0,0,0",1854/A,1986,"0.0551/2,400",20/20,Y,,2.5,11/2/16,CCR
SC1071472,A,SFR/D,326,Panay ST  ,MRBY,MRBY,,"$749,900 ",$499.93 ,"3/2,0,1,0",1500/SEE,0,"0.0551/2,400",55/55,Y,,2.5,9/28/16,CCR
SC1070665,A,SFR/D,471,Nevis ST  ,MRBY,MRBY,,"$775,000 ",$459.67 ,"3/1,1,1,0",1686/B,2015,"0.0572/2,492",85/85,Y,,2.5,8/29/16,CCR
SC1065910,A,SFR/D,546,Kings AV  ,MRBY,MRBY,,"$799,000 ",$281.83 ,"4/3,0,0,0",2835/A,1991,"0.256/11,151",186/186,Y,,2.5,4/14/16,CCR
SP1070943,A,SFR/A,1275,Main ST  ,MRBY,MRBY,,"$819,000 ",$306.28 ,"4/3,0,2,0",2674/B,2016,"0.1129/4,918",76/76,Y,,2.5,9/7/16,CCR
SP1063017,A,SFR/A,160,Mindoro ST  ,MRBY,MRBY,,"$979,000 ",$542.68 ,"3/1,2,1,0",1804/S,0,"0.1061/4,620",295/295,Y,,3,2/1/16,CCR
SC1071515,A,SFR/A,1230,Clarabelle DR  ,MRBY,MRBY,,"$985,000 ",$528.15 ,"3/2,0,1,0",1865/SEE,0,"0.0918/3,999",55/55,Y,,2.5,9/28/16,CCR
SC1068744,A,SFR/D,455,Main ST  ,MRBY,MRBY,,"$989,000 ",$388.00 ,"3/2,0,1,0",2549/SEE,2004,"0.089/3,894",140/140,N,,2.25,7/5/16,CCR
PI1070912,A,SFR/D,427,Morro Cove RD  ,MRBY,MRBY,,"$1,029,000 ",$357.91 ,"3/2,0,1,0",2875/A,2004,"0.0907/3,951",76/76,Y,,2.5,9/7/16,CCR
SC1070406,A,SFR/A,286,Piney WY  ,MRBY,MRBY,,"$1,075,000 ",$390.34 ,"3/4,0,0,0",2754/A,1967,"0.1579/6,878",124/124,Y,,2.5,7/21/16,CCR
SC1067999,A,SFR/D,2245,Nutmeg   ,MRBY,MRBY,,"$1,099,000 ",$443.15 ,"3/3,0,0,0",2480/A,1987,"0.0918/3,999",161/161,Y,,2.5,6/14/16,CCR
SC1072196,A,SFR/D,224,Kern AV  ,MRBY,MRBY,,"$1,236,000 ",$588.57 ,"3/1,2,0,0",2100/S,1952,"0.14/6,098",39/39,Y,,2.5,10/14/16,CCR
PI1072417,A,SFR/A,3390,Main ST  ,MRBY,MRBY,,"$1,650,000 ",$515.62 ,"4/2,0,1,0",3200/S,2002,"0.93/40,511",26/26,Y,,2.5,10/27/16,CCR
PI1070359,A,SFR/A,741,White Oak BL  ,PSMO,PSMO,,"$525,000 ",$436.77 ,"2/2,0,0,0",1202/A,1985,"0.0835/3,637",96/96,Y,,2.5,8/18/16,CCR
PI1069590,A,SFR/D,478,Hinds AV  ,PSMO,PSMO,,"$699,999 ",$856.79 ,"3/1,0,0,0",817/A,1950,"0.2/8,699",114/780,Y,,2.5,7/31/16,CCR
